ISIN;VALID_DATE;TYPE;DATETIME;CASHFLOW;VALUE
CH0205819433;27.05.2018;BOND;26.02.2014;COUPON;2,177
CH0205819433;27.05.2018;BOND;26.02.2015;COUPON;2,177
CH0205819433;27.05.2018;BOND;26.02.2016;COUPON;2,177
CH0205819433;27.05.2018;BOND;26.02.2017;COUPON;2,177
CH0205819433;27.05.2018;BOND;26.02.2018;COUPON;2,177
CH0205819433;27.05.2018;BOND;26.02.2018;REDEMPTION;5000
CH0205819441;27.05.2018;BOND;26.02.2014;COUPON;2,73
CH0205819441;27.05.2018;BOND;26.02.2015;COUPON;2,73
CH0205819441;27.05.2018;BOND;26.02.2016;COUPON;2,73
CH0205819441;27.05.2018;BOND;26.02.2017;COUPON;2,73
CH0205819441;27.05.2018;BOND;26.02.2018;COUPON;2,73
CH0205819441;27.05.2018;BOND;26.02.2019;COUPON;2,73
CH0205819441;27.05.2018;BOND;26.02.2020;COUPON;2,73
CH0205819441;27.05.2018;BOND;26.02.2021;COUPON;2,73
CH0205819441;27.05.2018;BOND;26.02.2021;REDEMPTION;5000
CH0317921671;27.05.2018;BOND;30.11.2016;COUPON;3,375
CH0317921671;27.05.2018;BOND;30.11.2017;COUPON;3,375
CH0317921671;27.05.2018;BOND;30.11.2018;COUPON;3,375
CH0317921671;27.05.2018;BOND;30.11.2018;REDEMPTION;5000
CH0346828400;27.05.2018;BOND;30.11.2017;COUPON;2,75
CH0346828400;27.05.2018;BOND;30.11.2018;COUPON;2,75
CH0346828400;27.05.2018;BOND;30.11.2019;COUPON;2,75
CH0346828400;27.05.2018;BOND;30.11.2020;COUPON;2,75
CH0346828400;27.05.2018;BOND;30.11.2021;COUPON;2,75
CH0346828400;27.05.2018;BOND;30.11.2021;REDEMPTION;5000
CH0379268748;27.05.2018;BOND;02.10.2018;COUPON;2,1
CH0379268748;27.05.2018;BOND;02.10.2019;COUPON;2,1
CH0379268748;27.05.2018;BOND;02.10.2020;COUPON;2,1
CH0379268748;27.05.2018;BOND;02.10.2021;COUPON;2,1
CH0379268748;27.05.2018;BOND;02.10.2022;COUPON;2,1
CH0379268748;27.05.2018;BOND;02.10.2023;COUPON;2,1
CH0379268748;27.05.2018;BOND;02.10.2023;REDEMPTION;5000
RU0002867631;27.05.2018;BOND;10.01.2018;COUPON;
RU0002867631;27.05.2018;BOND;09.01.2019;COUPON;
RU0002867631;27.05.2018;BOND;10.01.2018;REDEMPTION;700
RU0002867631;27.05.2018;BOND;09.01.2019;REDEMPTION;300
RU0002867854;27.05.2018;BOND;17.09.2003;COUPON;0
RU0002867854;27.05.2018;BOND;15.09.2004;COUPON;0
RU0002867854;27.05.2018;BOND;14.09.2005;COUPON;0
RU0002867854;27.05.2018;BOND;13.09.2006;COUPON;0
RU0002867854;27.05.2018;BOND;12.09.2007;COUPON;0
RU0002867854;27.05.2018;BOND;10.09.2008;COUPON;0
RU0002867854;27.05.2018;BOND;09.09.2009;COUPON;0
RU0002867854;27.05.2018;BOND;08.09.2010;COUPON;0
RU0002867854;27.05.2018;BOND;07.09.2011;COUPON;0
RU0002867854;27.05.2018;BOND;05.09.2012;COUPON;0
RU0002867854;27.05.2018;BOND;04.09.2013;COUPON;10
RU0002867854;27.05.2018;BOND;03.09.2014;COUPON;10
RU0002867854;27.05.2018;BOND;02.09.2015;COUPON;10
RU0002867854;27.05.2018;BOND;31.08.2016;COUPON;10
RU0002867854;27.05.2018;BOND;30.08.2017;COUPON;10
RU0002867854;27.05.2018;BOND;29.08.2018;COUPON;10
RU0002867854;27.05.2018;BOND;28.08.2019;COUPON;10
RU0002867854;27.05.2018;BOND;26.08.2020;COUPON;10
RU0002867854;27.05.2018;BOND;25.08.2021;COUPON;10
RU0002867854;27.05.2018;BOND;24.08.2022;COUPON;10
RU0002867854;27.05.2018;BOND;23.08.2023;COUPON;10
RU0002867854;27.05.2018;BOND;21.08.2024;COUPON;10
RU0002867854;27.05.2018;BOND;20.08.2025;COUPON;10
RU0002867854;27.05.2018;BOND;26.08.2020;REDEMPTION;100
RU0002867854;27.05.2018;BOND;25.08.2021;REDEMPTION;100
RU0002867854;27.05.2018;BOND;24.08.2022;REDEMPTION;200
RU0002867854;27.05.2018;BOND;23.08.2023;REDEMPTION;100
RU0002867854;27.05.2018;BOND;21.08.2024;REDEMPTION;200
RU0002867854;27.05.2018;BOND;20.08.2025;REDEMPTION;300
RU0002868001;27.05.2018;BOND;08.10.2003;COUPON;3,084
RU0002868001;27.05.2018;BOND;06.10.2004;COUPON;1,045
RU0002868001;27.05.2018;BOND;05.10.2005;COUPON;0,341
RU0002868001;27.05.2018;BOND;04.10.2006;COUPON;1,211
RU0002868001;27.05.2018;BOND;03.10.2007;COUPON;0,705
RU0002868001;27.05.2018;BOND;01.10.2008;COUPON;1,566
RU0002868001;27.05.2018;BOND;30.09.2009;COUPON;0,888
RU0002868001;27.05.2018;BOND;29.09.2010;COUPON;1,948
RU0002868001;27.05.2018;BOND;28.09.2011;COUPON;2,903
RU0002868001;27.05.2018;BOND;26.09.2012;COUPON;3,741
RU0002868001;27.05.2018;BOND;25.09.2013;COUPON;1,359
RU0002868001;27.05.2018;BOND;24.09.2014;COUPON;1,697
RU0002868001;27.05.2018;BOND;23.09.2015;COUPON;4,673
RU0002868001;27.05.2018;BOND;21.09.2016;COUPON;3,351
RU0002868001;27.05.2018;BOND;20.09.2017;COUPON;3,281
RU0002868001;27.05.2018;BOND;19.09.2018;COUPON;8,386
RU0002868001;27.05.2018;BOND;18.09.2019;COUPON;8,656
RU0002868001;27.05.2018;BOND;16.09.2020;COUPON;6,269
RU0002868001;27.05.2018;BOND;15.09.2021;COUPON;9,718
RU0002868001;27.05.2018;BOND;14.09.2022;COUPON;6,573
RU0002868001;27.05.2018;BOND;13.09.2023;COUPON;9,496
RU0002868001;27.05.2018;BOND;11.09.2024;COUPON;8,799
RU0002868001;27.05.2018;BOND;10.09.2025;COUPON;6,517
RU0002868001;27.05.2018;BOND;09.09.2026;COUPON;7,673
RU0002868001;27.05.2018;BOND;08.09.2027;COUPON;0,141
RU0002868001;27.05.2018;BOND;06.09.2028;COUPON;8,896
RU0002868001;27.05.2018;BOND;05.09.2029;COUPON;2,271
RU0002868001;27.05.2018;BOND;19.09.2018;REDEMPTION;25
RU0002868001;27.05.2018;BOND;18.09.2019;REDEMPTION;25
RU0002868001;27.05.2018;BOND;09.09.2026;REDEMPTION;125
RU0002868001;27.05.2018;BOND;08.09.2027;REDEMPTION;125
RU0002868001;27.05.2018;BOND;06.09.2028;REDEMPTION;125
RU0002868001;27.05.2018;BOND;05.09.2029;REDEMPTION;575
RU0002868076;27.05.2018;BOND;17.09.2003;COUPON;10,5
RU0002868076;27.05.2018;BOND;17.03.2004;COUPON;10,5
RU0002868076;27.05.2018;BOND;15.09.2004;COUPON;10,5
RU0002868076;27.05.2018;BOND;16.03.2005;COUPON;10
RU0002868076;27.05.2018;BOND;14.09.2005;COUPON;10
RU0002868076;27.05.2018;BOND;15.03.2006;COUPON;10
RU0002868076;27.05.2018;BOND;13.09.2006;COUPON;10
RU0002868076;27.05.2018;BOND;14.03.2007;COUPON;9
RU0002868076;27.05.2018;BOND;12.09.2007;COUPON;9
RU0002868076;27.05.2018;BOND;12.03.2008;COUPON;9
RU0002868076;27.05.2018;BOND;10.09.2008;COUPON;9
RU0002868076;27.05.2018;BOND;11.03.2009;COUPON;9
RU0002868076;27.05.2018;BOND;09.09.2009;COUPON;9
RU0002868076;27.05.2018;BOND;10.03.2010;COUPON;8
RU0002868076;27.05.2018;BOND;08.09.2010;COUPON;8
RU0002868076;27.05.2018;BOND;09.03.2011;COUPON;7
RU0002868076;27.05.2018;BOND;07.09.2011;COUPON;7
RU0002868076;27.05.2018;BOND;07.03.2012;COUPON;7
RU0002868076;27.05.2018;BOND;05.09.2012;COUPON;7
RU0002868076;27.05.2018;BOND;06.03.2013;COUPON;7
RU0002868076;27.05.2018;BOND;04.09.2013;COUPON;7
RU0002868076;27.05.2018;BOND;05.03.2014;COUPON;7
RU0002868076;27.05.2018;BOND;03.09.2014;COUPON;7
RU0002868076;27.05.2018;BOND;04.03.2015;COUPON;7
RU0002868076;27.05.2018;BOND;02.09.2015;COUPON;7
RU0002868076;27.05.2018;BOND;02.03.2016;COUPON;7
RU0002868076;27.05.2018;BOND;31.08.2016;COUPON;7
RU0002868076;27.05.2018;BOND;01.03.2017;COUPON;7
RU0002868076;27.05.2018;BOND;30.08.2017;COUPON;7
RU0002868076;27.05.2018;BOND;28.02.2018;COUPON;7
RU0002868076;27.05.2018;BOND;29.08.2018;COUPON;7
RU0002868076;27.05.2018;BOND;10.03.2010;REDEMPTION;250
RU0002868076;27.05.2018;BOND;08.09.2010;REDEMPTION;250
RU0002868076;27.05.2018;BOND;28.02.2018;REDEMPTION;250
RU0002868076;27.05.2018;BOND;29.08.2018;REDEMPTION;250
RU000A0D0G29;27.05.2018;BOND;15.06.2005;COUPON;9,5
RU000A0D0G29;27.05.2018;BOND;14.09.2005;COUPON;9,5
RU000A0D0G29;27.05.2018;BOND;14.12.2005;COUPON;9,5
RU000A0D0G29;27.05.2018;BOND;15.03.2006;COUPON;9,5
RU000A0D0G29;27.05.2018;BOND;14.06.2006;COUPON;9,5
RU000A0D0G29;27.05.2018;BOND;13.09.2006;COUPON;9,5
RU000A0D0G29;27.05.2018;BOND;13.12.2006;COUPON;9,5
RU000A0D0G29;27.05.2018;BOND;14.03.2007;COUPON;9
RU000A0D0G29;27.05.2018;BOND;13.06.2007;COUPON;9
RU000A0D0G29;27.05.2018;BOND;12.09.2007;COUPON;9
RU000A0D0G29;27.05.2018;BOND;12.12.2007;COUPON;9
RU000A0D0G29;27.05.2018;BOND;12.03.2008;COUPON;9
RU000A0D0G29;27.05.2018;BOND;11.06.2008;COUPON;9
RU000A0D0G29;27.05.2018;BOND;10.09.2008;COUPON;9
RU000A0D0G29;27.05.2018;BOND;10.12.2008;COUPON;9
RU000A0D0G29;27.05.2018;BOND;11.03.2009;COUPON;8,5
RU000A0D0G29;27.05.2018;BOND;10.06.2009;COUPON;8,5
RU000A0D0G29;27.05.2018;BOND;09.09.2009;COUPON;8,5
RU000A0D0G29;27.05.2018;BOND;09.12.2009;COUPON;8,5
RU000A0D0G29;27.05.2018;BOND;10.03.2010;COUPON;8,5
RU000A0D0G29;27.05.2018;BOND;09.06.2010;COUPON;8,5
RU000A0D0G29;27.05.2018;BOND;08.09.2010;COUPON;8,5
RU000A0D0G29;27.05.2018;BOND;08.12.2010;COUPON;8,5
RU000A0D0G29;27.05.2018;BOND;09.03.2011;COUPON;8
RU000A0D0G29;27.05.2018;BOND;08.06.2011;COUPON;8
RU000A0D0G29;27.05.2018;BOND;07.09.2011;COUPON;8
RU000A0D0G29;27.05.2018;BOND;07.12.2011;COUPON;8
RU000A0D0G29;27.05.2018;BOND;07.03.2012;COUPON;8
RU000A0D0G29;27.05.2018;BOND;06.06.2012;COUPON;8
RU000A0D0G29;27.05.2018;BOND;05.09.2012;COUPON;8
RU000A0D0G29;27.05.2018;BOND;05.12.2012;COUPON;8
RU000A0D0G29;27.05.2018;BOND;06.03.2013;COUPON;7
RU000A0D0G29;27.05.2018;BOND;05.06.2013;COUPON;7
RU000A0D0G29;27.05.2018;BOND;04.09.2013;COUPON;7
RU000A0D0G29;27.05.2018;BOND;04.12.2013;COUPON;7
RU000A0D0G29;27.05.2018;BOND;05.03.2014;COUPON;7
RU000A0D0G29;27.05.2018;BOND;04.06.2014;COUPON;7
RU000A0D0G29;27.05.2018;BOND;03.09.2014;COUPON;7
RU000A0D0G29;27.05.2018;BOND;03.12.2014;COUPON;7
RU000A0D0G29;27.05.2018;BOND;04.03.2015;COUPON;6,5
RU000A0D0G29;27.05.2018;BOND;03.06.2015;COUPON;6,5
RU000A0D0G29;27.05.2018;BOND;02.09.2015;COUPON;6,5
RU000A0D0G29;27.05.2018;BOND;02.12.2015;COUPON;6,5
RU000A0D0G29;27.05.2018;BOND;02.03.2016;COUPON;6,5
RU000A0D0G29;27.05.2018;BOND;01.06.2016;COUPON;6,5
RU000A0D0G29;27.05.2018;BOND;31.08.2016;COUPON;6,5
RU000A0D0G29;27.05.2018;BOND;30.11.2016;COUPON;6,5
RU000A0D0G29;27.05.2018;BOND;01.03.2017;COUPON;6,5
RU000A0D0G29;27.05.2018;BOND;31.05.2017;COUPON;6,5
RU000A0D0G29;27.05.2018;BOND;30.08.2017;COUPON;6,5
RU000A0D0G29;27.05.2018;BOND;29.11.2017;COUPON;6,5
RU000A0D0G29;27.05.2018;BOND;28.02.2018;COUPON;6,5
RU000A0D0G29;27.05.2018;BOND;30.05.2018;COUPON;6,5
RU000A0D0G29;27.05.2018;BOND;29.08.2018;COUPON;6,5
RU000A0D0G29;27.05.2018;BOND;28.11.2018;COUPON;6,5
RU000A0D0G29;27.05.2018;BOND;27.02.2019;COUPON;6,5
RU000A0D0G29;27.05.2018;BOND;29.05.2019;COUPON;6,5
RU000A0D0G29;27.05.2018;BOND;28.08.2019;COUPON;6,5
RU000A0D0G29;27.05.2018;BOND;27.11.2019;COUPON;6,5
RU000A0D0G29;27.05.2018;BOND;26.02.2020;COUPON;6,5
RU000A0D0G29;27.05.2018;BOND;27.05.2020;COUPON;6,5
RU000A0D0G29;27.05.2018;BOND;26.08.2020;COUPON;6,5
RU000A0D0G29;27.05.2018;BOND;25.11.2020;COUPON;6,5
RU000A0D0G29;27.05.2018;BOND;24.02.2021;COUPON;6,5
RU000A0D0G29;27.05.2018;BOND;26.05.2021;COUPON;6,5
RU000A0D0G29;27.05.2018;BOND;25.08.2021;COUPON;6,5
RU000A0D0G29;27.05.2018;BOND;24.11.2021;COUPON;6,5
RU000A0D0G29;27.05.2018;BOND;27.11.2019;REDEMPTION;300
RU000A0D0G29;27.05.2018;BOND;25.11.2020;REDEMPTION;300
RU000A0D0G29;27.05.2018;BOND;24.11.2021;REDEMPTION;400
RU000A0DGJ32;27.05.2018;BOND;16.11.2005;COUPON;10
RU000A0DGJ32;27.05.2018;BOND;15.11.2006;COUPON;8
RU000A0DGJ32;27.05.2018;BOND;14.11.2007;COUPON;7,75
RU000A0DGJ32;27.05.2018;BOND;12.11.2008;COUPON;7,25
RU000A0DGJ32;27.05.2018;BOND;11.11.2009;COUPON;10,5
RU000A0DGJ32;27.05.2018;BOND;10.11.2010;COUPON;13
RU000A0DGJ32;27.05.2018;BOND;09.11.2011;COUPON;7
RU000A0DGJ32;27.05.2018;BOND;07.11.2012;COUPON;6,5
RU000A0DGJ32;27.05.2018;BOND;06.11.2013;COUPON;6
RU000A0DGJ32;27.05.2018;BOND;05.11.2014;COUPON;5,5
RU000A0DGJ32;27.05.2018;BOND;04.11.2015;COUPON;5
RU000A0DGJ32;27.05.2018;BOND;02.11.2016;COUPON;12,2
RU000A0DGJ32;27.05.2018;BOND;01.11.2017;COUPON;6,4
RU000A0DGJ32;27.05.2018;BOND;31.10.2018;COUPON;3,8
RU000A0DGJ32;27.05.2018;BOND;05.11.2014;REDEMPTION;200
RU000A0DGJ32;27.05.2018;BOND;04.11.2015;REDEMPTION;200
RU000A0DGJ32;27.05.2018;BOND;02.11.2016;REDEMPTION;200
RU000A0DGJ32;27.05.2018;BOND;01.11.2017;REDEMPTION;200
RU000A0DGJ32;27.05.2018;BOND;31.10.2018;REDEMPTION;200
RU000A0GN9A7;27.05.2018;BOND;16.08.2006;COUPON;6,95
RU000A0GN9A7;27.05.2018;BOND;14.02.2007;COUPON;6,9
RU000A0GN9A7;27.05.2018;BOND;15.08.2007;COUPON;6,9
RU000A0GN9A7;27.05.2018;BOND;13.02.2008;COUPON;6,9
RU000A0GN9A7;27.05.2018;BOND;13.08.2008;COUPON;6,9
RU000A0GN9A7;27.05.2018;BOND;11.02.2009;COUPON;6,9
RU000A0GN9A7;27.05.2018;BOND;12.08.2009;COUPON;6,9
RU000A0GN9A7;27.05.2018;BOND;10.02.2010;COUPON;6,9
RU000A0GN9A7;27.05.2018;BOND;11.08.2010;COUPON;6,9
RU000A0GN9A7;27.05.2018;BOND;09.02.2011;COUPON;6,9
RU000A0GN9A7;27.05.2018;BOND;10.08.2011;COUPON;6,9
RU000A0GN9A7;27.05.2018;BOND;15.02.2012;COUPON;6,9
RU000A0GN9A7;27.05.2018;BOND;15.08.2012;COUPON;6,9
RU000A0GN9A7;27.05.2018;BOND;13.02.2013;COUPON;6,9
RU000A0GN9A7;27.05.2018;BOND;14.08.2013;COUPON;6,9
RU000A0GN9A7;27.05.2018;BOND;12.02.2014;COUPON;6,9
RU000A0GN9A7;27.05.2018;BOND;13.08.2014;COUPON;6,9
RU000A0GN9A7;27.05.2018;BOND;11.02.2015;COUPON;6,9
RU000A0GN9A7;27.05.2018;BOND;12.08.2015;COUPON;6,9
RU000A0GN9A7;27.05.2018;BOND;10.02.2016;COUPON;6,9
RU000A0GN9A7;27.05.2018;BOND;10.08.2016;COUPON;6,9
RU000A0GN9A7;27.05.2018;BOND;15.02.2017;COUPON;6,9
RU000A0GN9A7;27.05.2018;BOND;16.08.2017;COUPON;6,9
RU000A0GN9A7;27.05.2018;BOND;14.02.2018;COUPON;6,9
RU000A0GN9A7;27.05.2018;BOND;15.08.2018;COUPON;6,9
RU000A0GN9A7;27.05.2018;BOND;13.02.2019;COUPON;6,9
RU000A0GN9A7;27.05.2018;BOND;14.08.2019;COUPON;6,9
RU000A0GN9A7;27.05.2018;BOND;12.02.2020;COUPON;6,9
RU000A0GN9A7;27.05.2018;BOND;12.08.2020;COUPON;6,9
RU000A0GN9A7;27.05.2018;BOND;10.02.2021;COUPON;6,9
RU000A0GN9A7;27.05.2018;BOND;11.08.2021;COUPON;6,9
RU000A0GN9A7;27.05.2018;BOND;09.02.2022;COUPON;6,9
RU000A0GN9A7;27.05.2018;BOND;10.08.2022;COUPON;6,9
RU000A0GN9A7;27.05.2018;BOND;15.02.2023;COUPON;6,9
RU000A0GN9A7;27.05.2018;BOND;16.08.2023;COUPON;6,9
RU000A0GN9A7;27.05.2018;BOND;14.02.2024;COUPON;6,9
RU000A0GN9A7;27.05.2018;BOND;14.08.2024;COUPON;6,9
RU000A0GN9A7;27.05.2018;BOND;12.02.2025;COUPON;6,9
RU000A0GN9A7;27.05.2018;BOND;13.08.2025;COUPON;6,9
RU000A0GN9A7;27.05.2018;BOND;11.02.2026;COUPON;6,9
RU000A0GN9A7;27.05.2018;BOND;12.08.2026;COUPON;6,9
RU000A0GN9A7;27.05.2018;BOND;10.02.2027;COUPON;6,9
RU000A0GN9A7;27.05.2018;BOND;11.08.2027;COUPON;6,9
RU000A0GN9A7;27.05.2018;BOND;09.02.2028;COUPON;6,9
RU000A0GN9A7;27.05.2018;BOND;09.08.2028;COUPON;6,9
RU000A0GN9A7;27.05.2018;BOND;14.02.2029;COUPON;6,9
RU000A0GN9A7;27.05.2018;BOND;15.08.2029;COUPON;6,9
RU000A0GN9A7;27.05.2018;BOND;13.02.2030;COUPON;6,9
RU000A0GN9A7;27.05.2018;BOND;14.08.2030;COUPON;6,9
RU000A0GN9A7;27.05.2018;BOND;12.02.2031;COUPON;6,9
RU000A0GN9A7;27.05.2018;BOND;13.08.2031;COUPON;6,9
RU000A0GN9A7;27.05.2018;BOND;11.02.2032;COUPON;6,9
RU000A0GN9A7;27.05.2018;BOND;11.08.2032;COUPON;6,9
RU000A0GN9A7;27.05.2018;BOND;09.02.2033;COUPON;6,9
RU000A0GN9A7;27.05.2018;BOND;10.08.2033;COUPON;6,9
RU000A0GN9A7;27.05.2018;BOND;08.02.2034;COUPON;6,9
RU000A0GN9A7;27.05.2018;BOND;09.08.2034;COUPON;6,9
RU000A0GN9A7;27.05.2018;BOND;07.02.2035;COUPON;6,9
RU000A0GN9A7;27.05.2018;BOND;08.08.2035;COUPON;6,9
RU000A0GN9A7;27.05.2018;BOND;06.02.2036;COUPON;6,9
RU000A0GN9A7;27.05.2018;BOND;09.08.2034;REDEMPTION;250
RU000A0GN9A7;27.05.2018;BOND;07.02.2035;REDEMPTION;250
RU000A0GN9A7;27.05.2018;BOND;08.08.2035;REDEMPTION;250
RU000A0GN9A7;27.05.2018;BOND;06.02.2036;REDEMPTION;250
RU000A0JNHJ4;27.05.2018;BOND;05.04.2006;COUPON;0
RU000A0JNHJ4;27.05.2018;BOND;04.04.2007;COUPON;0
RU000A0JNHJ4;27.05.2018;BOND;02.04.2008;COUPON;0
RU000A0JNHJ4;27.05.2018;BOND;01.04.2009;COUPON;0
RU000A0JNHJ4;27.05.2018;BOND;31.03.2010;COUPON;0
RU000A0JNHJ4;27.05.2018;BOND;30.03.2011;COUPON;0
RU000A0JNHJ4;27.05.2018;BOND;28.03.2012;COUPON;0
RU000A0JNHJ4;27.05.2018;BOND;27.03.2013;COUPON;3,008
RU000A0JNHJ4;27.05.2018;BOND;26.03.2014;COUPON;2,005
RU000A0JNHJ4;27.05.2018;BOND;25.03.2015;COUPON;2,005
RU000A0JNHJ4;27.05.2018;BOND;23.03.2016;COUPON;2,005
RU000A0JNHJ4;27.05.2018;BOND;22.03.2017;COUPON;2,005
RU000A0JNHJ4;27.05.2018;BOND;21.03.2018;COUPON;2,005
RU000A0JNHJ4;27.05.2018;BOND;20.03.2019;COUPON;2,005
RU000A0JNHJ4;27.05.2018;BOND;27.03.2013;REDEMPTION;100
RU000A0JNHJ4;27.05.2018;BOND;26.03.2014;REDEMPTION;100
RU000A0JNHJ4;27.05.2018;BOND;25.03.2015;REDEMPTION;100
RU000A0JNHJ4;27.05.2018;BOND;23.03.2016;REDEMPTION;100
RU000A0JNHJ4;27.05.2018;BOND;22.03.2017;REDEMPTION;200
RU000A0JNHJ4;27.05.2018;BOND;21.03.2018;REDEMPTION;200
RU000A0JNHJ4;27.05.2018;BOND;20.03.2019;REDEMPTION;200
RU000A0JNPK5;27.05.2018;BOND;15.03.2007;COUPON;7,63
RU000A0JNPK5;27.05.2018;BOND;15.06.2007;COUPON;7,63
RU000A0JNPK5;27.05.2018;BOND;15.09.2007;COUPON;7,63
RU000A0JNPK5;27.05.2018;BOND;15.12.2007;COUPON;7,63
RU000A0JNPK5;27.05.2018;BOND;15.03.2008;COUPON;7,63
RU000A0JNPK5;27.05.2018;BOND;15.06.2008;COUPON;7,63
RU000A0JNPK5;27.05.2018;BOND;15.09.2008;COUPON;7,63
RU000A0JNPK5;27.05.2018;BOND;15.12.2008;COUPON;7,63
RU000A0JNPK5;27.05.2018;BOND;15.03.2009;COUPON;7,63
RU000A0JNPK5;27.05.2018;BOND;15.06.2009;COUPON;7,63
RU000A0JNPK5;27.05.2018;BOND;15.09.2009;COUPON;7,63
RU000A0JNPK5;27.05.2018;BOND;15.12.2009;COUPON;7,63
RU000A0JNPK5;27.05.2018;BOND;15.03.2010;COUPON;7,63
RU000A0JNPK5;27.05.2018;BOND;15.06.2010;COUPON;7,63
RU000A0JNPK5;27.05.2018;BOND;15.09.2010;COUPON;7,63
RU000A0JNPK5;27.05.2018;BOND;15.12.2010;COUPON;7,63
RU000A0JNPK5;27.05.2018;BOND;15.03.2011;COUPON;7,63
RU000A0JNPK5;27.05.2018;BOND;15.06.2011;COUPON;7,63
RU000A0JNPK5;27.05.2018;BOND;15.09.2011;COUPON;7,63
RU000A0JNPK5;27.05.2018;BOND;15.12.2011;COUPON;7,63
RU000A0JNPK5;27.05.2018;BOND;15.03.2012;COUPON;7,63
RU000A0JNPK5;27.05.2018;BOND;15.06.2012;COUPON;7,63
RU000A0JNPK5;27.05.2018;BOND;15.09.2012;COUPON;7,63
RU000A0JNPK5;27.05.2018;BOND;15.12.2012;COUPON;7,63
RU000A0JNPK5;27.05.2018;BOND;15.03.2013;COUPON;7,63
RU000A0JNPK5;27.05.2018;BOND;15.06.2013;COUPON;7,63
RU000A0JNPK5;27.05.2018;BOND;15.09.2013;COUPON;7,63
RU000A0JNPK5;27.05.2018;BOND;15.12.2013;COUPON;7,63
RU000A0JNPK5;27.05.2018;BOND;15.03.2014;COUPON;7,63
RU000A0JNPK5;27.05.2018;BOND;15.06.2014;COUPON;7,63
RU000A0JNPK5;27.05.2018;BOND;15.09.2014;COUPON;7,63
RU000A0JNPK5;27.05.2018;BOND;15.12.2014;COUPON;7,63
RU000A0JNPK5;27.05.2018;BOND;15.03.2015;COUPON;7,63
RU000A0JNPK5;27.05.2018;BOND;15.06.2015;COUPON;7,63
RU000A0JNPK5;27.05.2018;BOND;15.09.2015;COUPON;7,63
RU000A0JNPK5;27.05.2018;BOND;15.12.2015;COUPON;7,63
RU000A0JNPK5;27.05.2018;BOND;15.03.2016;COUPON;7,63
RU000A0JNPK5;27.05.2018;BOND;15.06.2016;COUPON;7,63
RU000A0JNPK5;27.05.2018;BOND;15.09.2016;COUPON;7,63
RU000A0JNPK5;27.05.2018;BOND;15.12.2016;COUPON;7,63
RU000A0JNPK5;27.05.2018;BOND;15.03.2017;COUPON;7,63
RU000A0JNPK5;27.05.2018;BOND;15.06.2017;COUPON;7,63
RU000A0JNPK5;27.05.2018;BOND;15.09.2017;COUPON;7,63
RU000A0JNPK5;27.05.2018;BOND;15.12.2017;COUPON;7,63
RU000A0JNPK5;27.05.2018;BOND;15.03.2018;COUPON;7,63
RU000A0JNPK5;27.05.2018;BOND;15.06.2018;COUPON;7,63
RU000A0JNPK5;27.05.2018;BOND;15.06.2012;REDEMPTION;400
RU000A0JNPK5;27.05.2018;BOND;15.03.2014;REDEMPTION;300
RU000A0JNPK5;27.05.2018;BOND;15.06.2017;REDEMPTION;150
RU000A0JNPK5;27.05.2018;BOND;15.06.2018;REDEMPTION;150
RU000A0JNYN1;27.05.2018;BOND;11.06.2007;COUPON;8
RU000A0JNYN1;27.05.2018;BOND;11.12.2007;COUPON;8
RU000A0JNYN1;27.05.2018;BOND;11.06.2008;COUPON;8
RU000A0JNYN1;27.05.2018;BOND;11.12.2008;COUPON;8
RU000A0JNYN1;27.05.2018;BOND;11.06.2009;COUPON;8
RU000A0JNYN1;27.05.2018;BOND;11.12.2009;COUPON;8
RU000A0JNYN1;27.05.2018;BOND;11.06.2010;COUPON;8
RU000A0JNYN1;27.05.2018;BOND;11.12.2010;COUPON;8
RU000A0JNYN1;27.05.2018;BOND;11.06.2011;COUPON;8
RU000A0JNYN1;27.05.2018;BOND;11.12.2011;COUPON;8
RU000A0JNYN1;27.05.2018;BOND;11.06.2012;COUPON;8
RU000A0JNYN1;27.05.2018;BOND;11.12.2012;COUPON;7
RU000A0JNYN1;27.05.2018;BOND;11.06.2013;COUPON;7
RU000A0JNYN1;27.05.2018;BOND;11.12.2013;COUPON;7
RU000A0JNYN1;27.05.2018;BOND;11.06.2014;COUPON;7
RU000A0JNYN1;27.05.2018;BOND;11.12.2014;COUPON;7
RU000A0JNYN1;27.05.2018;BOND;11.06.2015;COUPON;7
RU000A0JNYN1;27.05.2018;BOND;11.12.2015;COUPON;7
RU000A0JNYN1;27.05.2018;BOND;11.06.2016;COUPON;7
RU000A0JNYN1;27.05.2018;BOND;11.12.2016;COUPON;7
RU000A0JNYN1;27.05.2018;BOND;11.06.2017;COUPON;7
RU000A0JNYN1;27.05.2018;BOND;11.12.2017;COUPON;6
RU000A0JNYN1;27.05.2018;BOND;11.06.2018;COUPON;6
RU000A0JNYN1;27.05.2018;BOND;11.12.2018;COUPON;6
RU000A0JNYN1;27.05.2018;BOND;11.06.2019;COUPON;6
RU000A0JNYN1;27.05.2018;BOND;11.12.2019;COUPON;6
RU000A0JNYN1;27.05.2018;BOND;11.06.2020;COUPON;6
RU000A0JNYN1;27.05.2018;BOND;11.12.2020;COUPON;6
RU000A0JNYN1;27.05.2018;BOND;11.06.2021;COUPON;6
RU000A0JNYN1;27.05.2018;BOND;11.12.2021;COUPON;6
